"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","34001","-25.433715","-49.2512145","Curitiba ","Roubo ","Voltando do mercado",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 17/09/2013 11:00",""
"2","34002","-5.7944772","-35.2060951","Natal ","Roubo ","Voltando da faculdade",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/09/2014 15:30",""
"3","34003","-23.1674796","-45.892153","São José dos Campos ","Roubo ","Assalto no Parque da Cidade",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 30/12/2013 17:30",""
"4","34004","-23.960946","-46.3224418","Santos ","Furto ","Saindo da faculdade UNILUS",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 16:15",""
"5","34005","-22.9068928","-43.0993839","Niterói ","Roubo ","Fui assaltada ao chegar em casa com meu namorado",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/06/2014 22:00",""
"6","34006","-12.9398083","-38.4898762","Salvador ","Roubo ","Indo ao trabalho",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 19/09/2014 06:15",""
"7","34007","-22.8929978","-43.2353285","Rio de Janeiro ","Sequestro Relâmpago ","sequestro relâmpago",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/09/2013 12:00",""
"8","34008","-5.8300674","-35.2223008","Natal ","Roubo ","Fui assaltada indo p o trabalho, por 2 jovens cada um numa moto.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 17/06/2014 08:00",""
"9","34009","-21.1606187","-47.8423294","Ribeirão Preto ","Roubo ","Assaltantes de bicicleta (tentativa de roubo)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 12:30",""
"10","34010","-25.4301149","-49.2712685","Curitiba ","Furto ","bloquearam a minha passagem e mexeram na bolsa",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/09/2014 13:00",""
"11","34011","-22.2856506","-42.5223126","Nova Friburgo ","Furto ","Furto, dentro da Universidade Estácio de Sá.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 16/09/2014 08:15",""
"12","34012","-3.7742716","-38.5696743","Fortaleza ","Furto ","Assaltado voltando do curso",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 03/12/2013 12:00",""
"13","34013","-21.191736","-47.8042985","Ribeirão Preto ","Roubo de Veículo ","Carro roubado durante consulta",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/09/2014 11:30",""
"14","34014","-22.270283","-42.533712","Nova Friburgo ","Arrombamento Loja comercial ","Arrombamento em Loja Comercial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 30/08/2014 02:00",""
"15","34015","-10.899042","-37.0571172","Aracaju ","Roubo ","Fui assautado assim que acabou as quadrinhas juninas na Rua São João",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 28/06/2014 21:00",""
"16","34016","-22.2851628","-42.534271","Nova Friburgo ","Assalto a grupo ","Roubo em Escola.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 15:15",""
"17","34017","-23.1014757","-52.4819367","Paranavaí ","Arrombamento Domiciliar ","Furto de residência ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/09/2014 23:30",""
"18","34018","-23.1001997","-52.489636","Paranavaí ","Furto ","Furtaram  meu  cavalo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/07/2014 22:00",""
"19","34019","-23.0980193","-52.4628177","Paranavaí ","Arrombamento Domiciliar ","Furto de fiação eletrica",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/06/2014 22:00",""
"20","34020","-30.031387","-51.202958","Porto Alegre ","Roubo ","Assalto mão armada MOTo - No trânsito",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 19:30",""
"21","34021","-3.7485597","-38.4928438","Fortaleza ","Furto ","Assaltado indo para o colégio",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 11:30",""
"22","34022","-8.1273682","-34.9059954","Recife ","Roubo ","fui assaltado em uma cruzamento de boa viagem",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 18:30",""
"23","34023","-8.043421","-34.90239","Recife ","Assalto a grupo ","Fui assaltado na calçada da Bug's, logo após atravessar a Rui Barbosa",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 29/08/2014 11:00",""
"24","34024","-15.8493779","-48.0501628","Brasília ","Saidinha Bancária ","Sequestro relâmpago em frente ao Banco Itaú do Pistão Sul ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/06/2014 19:30",""
"25","34025","-27.5964066","-48.6083195","São José ","Roubo ","Voltando da Faculdade",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/09/2014 11:00",""
"26","34026","-20.284819","-40.2927104","Vitória ","Furto ","fui assaltada voltando do trabalho por um menino de bike",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/09/2014 22:15",""
