"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","26001","-30.0493469","-51.2294656","Porto Alegre ","Furto ","Furto ao carro no estacionamento do shopping",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/05/2014 15:00",""
"2","26002","-21.1842292","-47.7982882","Ribeirão Preto ","Roubo de Veículo ","Furto de veículo enquanto eu estava na faculdade",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/04/2014 22:30",""
"3","26003","-19.8688417","-43.9249898","Belo Horizonte ","Roubo ","Assaltado na entrada do Bairro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 17:15",""
"4","26004","-16.102623","-47.9301609","Cidade Ocidental ","Roubo ","Assaltos constantes no DETRAN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/06/2014 07:00",""
"5","26005","-16.079936","-47.8759351","Cidade Ocidental ","Roubo ","Assalto no Cartório de Cidade Ocidental",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 30/06/2014 12:30",""
"6","26006","-16.7835891","-49.363169","Goiânia ","Arrombamento Loja comercial ","Arrombamento e depois colocaram fogo.  :(  :(",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/06/2014 03:00",""
"7","26007","-10.7086227","-48.4089415","Porto Nacional ","Roubo ","foi assaltado indo pra casa, ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 21:00",""
"8","26008","-9.7524502","-36.6346127","Arapiraca ","Roubo ","Tive o celular roubado por 2 homens em uma biz vermelha",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 08:15",""
"9","26009","-22.8150341","-45.2022868","Guaratinguetá ","Furto ","Fui espancado e roubaram meu celular.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 28/06/2014 05:00",""
"10","26010","-25.4772583","-54.5621884","Foz do Iguaçu ","Arrombamento Domiciliar ","Casa sozinha, levaram eletrônicos. ",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE," 08/07/2014 16:30",""
"11","26011","-22.8964897","-47.0800702","Campinas ","Roubo ","Assaltado por dois menores ao estacionar o carro",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 11/01/2014 18:30",""
"12","26012","-9.761865","-36.6562372","Arapiraca ","Assalto a grupo ","Roubadas no ponto de ônibus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/07/2014 06:15",""
"13","26013","-23.6132345","-46.5015935","São Paulo ","Assalto a grupo ","Estava voltando de um passeio",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 26/06/2014 11:45",""
"14","26014","-22.8148611","-43.3023862","Rio de Janeiro ","Roubo ","Fui assaltada por dois rapazes armados quando voltava para casa.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 29/06/2014 23:00",""
"15","26015","-3.7549133","-38.5555088","Fortaleza ","Roubo ","FUI ASSALTADO LEVARAM MEU CARRO,  POR DOIS BANDIDOS COM ARMA DE FOGO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 19:00",""
"16","26016","-23.5998017","-46.5764946","São Paulo ","Roubo de Veículo ","Fui roubado voltando pra casa",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 22:30",""
"17","26017","-22.8291507","-43.4041562","Rio de Janeiro ","Sequestro Relâmpago ","Tentativa de assalto seguido de sequestro, indo para o trabalho.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/07/2014 06:00",""
"18","26018","-22.8431813","-42.0333897","Cabo Frio ","Furto ","Deixei o vidro do carro um pouco aberto e roubaram minha carteira",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 04:00",""
"19","26019","-23.1173011","-46.5426763","Atibaia ","Roubo de Veículo ","Tentativa de roubo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 26/06/2014 10:00",""
