"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","36001","-7.1230413","-34.8576262","João Pessoa ","Roubo ","fui assaltada indo trabalhar",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 22/10/2014 08:45",""
"2","36002","-22.9044356","-47.0578199","Campinas ","Furto ","Fui assaltada na porta de casa.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/10/2014 18:45",""
"3","36003","-23.5753638","-46.6878115","São Paulo ","Saidinha Bancária ","Assaltando na esquina do banco",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 21/10/2014 14:00",""
"4","36004","-12.9851607","-38.4670407","Salvador ","Furto ","Voltando do trabalho",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/10/2014 15:15",""
"5","36005","-21.1581557","-47.8467584","Ribeirão Preto ","Furto ","Furto de carteira. Moreno, 1,80, magro com bicicleta azul.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/10/2014 08:15",""
"6","36006","-12.9575181","-38.4653806","Salvador ","Assalto a grupo ","Fui assaltada dentro do coletivo",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/10/2014 13:30",""
"7","36007","-4.9721169","-39.0133291","Quixadá ","Roubo ","Fui assaltado indo pra faculdade",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/10/2014 19:00",""
"8","36008","-23.7102311","-46.6063972","Diadema ","Roubo ","Fui assaltado indo para casa!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/09/2014 19:00",""
"9","36009","-12.9433001","-38.4768186","Salvador ","Roubo ","Fui assaltada indo para o trabalho!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/10/2014 06:30",""
"10","36010","-23.5136434","-46.6907931","São Paulo ","Assalto a grupo ","Fui assaltado no ponto de onibus",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 22/07/2014 06:30",""
