"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","1","-12.9777431","-38.4312059","Salvador ","Roubo ","Fui assaltado por um motoqueiro",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 19/06/2013 19:45",""
"2","2","-25.4459842","-49.2585689","Curitiba ","Roubo ","Assaltado indo para a faculdade",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/06/2013 18:30",""
"3","3","-12.9794159","-38.4578616","Salvador ","Furto ","Assalto na Estação Iguatemi - Salvador",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 22/01/2013 11:01",""
"4","4","-12.9849464","-38.5183518","Salvador ","Furto ","Fui assaltado em plena luz do dia !!!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 16/01/2013 00:01",""
"5","5","-12.9978397","-38.516208","Salvador ","Furto ","Assaltada na hora do almoço!",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 17/03/2013 12:03",""
"6","6","-12.9668007","-38.5009139","Salvador ","Furto ","fui assaltado em plena luz do dia",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/01/2013 07:27",""
"7","7","-12.9348127","-38.505119","Salvador ","Roubo ","Roubo planejado, na saida do meu condominio",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/05/2013 19:35",""
"8","8","-13.0114749","-38.4725072","Salvador ","Assalto a grupo ","assalto a ônibus em amaralina",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 22/02/2013 16:30",""
"9","9","-13.0143301","-38.470397","Salvador ","Assalto a grupo ","Assaltado na pria, em plena luz do dia. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/02/2013 15:34",""
"10","10","-12.9808062","-38.5121122","Salvador ","Roubo ","Roubo em Nazaré",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/01/2013 02:30",""
"11","11","-12.971125","-38.5054885","Salvador ","Roubo ","Fui assaltada por motoqueiros",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/02/2013 15:19",""
"12","12","-21.1322154","-42.3698612","Muriaé ","Furto ","Fui assaltada por 2 homens, entre 20 e 25 anos.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/06/2013 22:01",""
"13","13","-12.9800219","-38.4325565","Salvador ","Roubo ","Fui assaltado a luz do dia",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/02/2013 14:51",""
"14","14","-13.0072588","-38.5266287","Salvador ","Roubo ","Fui assaltado por 2 caras em uma moto",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/05/2013 19:20",""
