"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","44001","-8.0885599","-34.9462455","Recife ","Roubo ","Eu e um amigo fomos assaltados, levaram os dois celulares.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/01/2015 11:00",""
"2","44002","-22.8664719","-43.2400735","Rio de Janeiro ","Assalto a grupo ","Fui assaltado voltando da faculdade",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/12/2014 11:45",""
"3","44003","-22.9019127","-43.1845442","Rio de Janeiro ","Roubo ","Assaltado indo para o trabalho.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/01/2015 09:30",""
"4","44004","-22.9138075","-43.0964394","Niterói ","Roubo ","Fui assaltado dentro do túnel. Por dois caras de moto preta ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/01/2015 15:00",""
"5","44005","-24.2157774","-46.8611821","Itanhaém ","Arrombamento Domiciliar ","Assaltada quando estava fora de casa",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 26/12/2014 13:00",""
"6","44006","-16.673729","-49.2908366","Goiânia ","Furto ","NA PORTA DE CASA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/01/2015 09:00",""
"7","44007","-23.5710326","-46.7097876","São Paulo ","Roubo ","Fui assaltado no ponto de ônibus",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/01/2015 00:15",""
"8","44008","-15.617492","-56.0781052","Cuiabá ","Furto ","Rouba a prédio",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE," 20/10/2014 21:15",""
"9","44009","-27.599533","-48.5528184","Florianópolis ","Roubo ","Fui assaltado dentro do ônibus voltando pra casa.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/07/2014 04:45",""
"10","44010","-21.1802876","-47.7716607","Ribeirão Preto ","Arrombamento Veicular ","Furtaram o som e alguns pertences do porta mala",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/10/2014 03:00",""
