"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","47001","-21.2094009","-47.8200218","Ribeirão Preto ","Roubo ","Escapei do roubo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/03/2015 17:45",""
"2","47002","-19.8617963","-43.9367886","Belo Horizonte ","Arrombamento Domiciliar ","Arrombamento",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 03/03/2015 15:00",""
"3","47003","-23.5529076987616","-46.6555766560045","São Paulo ","Arrombamento Veicular ","Quebraram o vidro do meu carro e levaram pertences! ",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/03/2015 02:00",""
"4","47004","-23.5529076987616","-46.6555766560045","São Paulo ","Arrombamento Veicular ","Quebraram o vidro do meu carro e levaram pertences! ",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/03/2015 02:00",""
"5","47005","-16.71229","-49.30597","Goiânia ","Roubo ","Fui assaltado indo esperando no ponto indo para o centro",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/03/2015 12:30",""
"6","47006","-23.5529076987616","-46.6555766560045","São Paulo ","Arrombamento Veicular ","Quebraram o vidro do meu carro e levaram pertences! ",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/03/2015 02:00",""
"7","47007","-23.560691","-46.5902071","São Paulo ","Roubo ","Fui assaltando na porta de um amigo",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/03/2015 23:45",""
"8","47008","-23.5558988","-46.7494976","São Paulo ","Roubo ","Fui assaltado quando saia do Extra  por  4 individuos ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/03/2015 16:00",""
"9","47009","-15.8122009","-47.9060216","Brasília ","Roubo ","Fui assaltado Voltando da escola",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/03/2015 13:00",""
"10","47010","-5.7313788","-35.2522517","Natal ","Roubo ","Pediram meu celular na rua",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/03/2015 19:45",""
"11","47011","-30.0460855","-51.1815841","Porto Alegre ","Roubo ","Ataque de Quadrilha Armada Rouba carteira, celular e carro",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 22/01/2015 22:00",""
"12","47012","-7.2256109","-35.8833839","Campina Grande ","Roubo ","Assaltado caminhando no açude velho",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/03/2015 19:00",""
