"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","33001","-25.5510807","-48.5551813","Paranaguá ","Furto ","Furto de Residência",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/09/2014 19:45",""
"2","33002","-22.9625839","-43.2891062","Rio de Janeiro ","Furto ","Fui furtada numa festa",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/09/2014 20:00",""
"3","33003","-22.8869073","-43.2677643","Rio de Janeiro ","Roubo ","Assaltado indo pra escola",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 11/07/2014 06:00",""
"4","33004","-24.0380641","-46.522164","Praia Grande ","Assalto a grupo ","Fui abordado enquanto colocava o carro na garagem",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/05/2014 22:00",""
"5","33005","-22.9755968","-43.1877463","Rio de Janeiro ","Furto ","Fui furtado no FIFA FAN FEST",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 28/06/2014 16:00",""
"6","33006","-22.7414503","-47.6691844","Piracicaba ","Roubo ","fui assaltado no trabalho por dois assaltantes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/03/2014 14:30",""
"7","33007","-8.299126","-35.9761135","Caruaru ","Furto ","Estava indo à escola onde participo de projeto.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 16/09/2014 12:30",""
"8","33008","-22.7448629","-47.6632408","Piracicaba ","Roubo ","fui assaltado por 3 assaltantes no trabalho",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/07/2014 16:00",""
"9","33009","-22.9007179","-43.1764456","Rio de Janeiro ","Roubo ","Fui assaltado saindo do trabalho",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 03/04/2014 18:00",""
"10","33010","-3.7298382","-38.5306617","Fortaleza ","Roubo ","Fui assaltando quando parei no semafaro",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/08/2014 16:30",""
"11","33011","-25.43661","-49.26094","Curitiba ","Furto ","Assalto no ponto de ônibus",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/03/2014 19:00",""
